deck_key,partidas_jogadas,vitorias,empates,jogadores_unicos,eventos,derrotas,win_rate,is_banned,ban_rule,deck_name_pt,deck_name_en,colecao,deck_url
Angels: They're Just Like Us but Cooler and With Wings,8,3,0,2,3,5,0.375,False,"12+ jogos e 66,6%+ WR",Angels: They're Just Like Us but Cooler and With Wings,Angels: They're Just Like Us but Cooler and With Wings,Secret Lair Commander Deck,https://moxfield.com/decks/Q3Wn5qhG0UWFaGIYEpmRjQ
Abzan Armor,6,3,1,2,2,2,0.5,False,"12+ jogos e 66,6%+ WR",Abzan Armor,Abzan Armor,Tarkir Dragonstorm,https://moxfield.com/decks/hdTiRiY5IEyCJFL2BR8cyg
Family Matters,6,4,0,2,2,2,0.6666666666666666,False,"12+ jogos e 66,6%+ WR",Family Matters,Family Matters,Bloomburrow,https://moxfield.com/decks/c6jPOurIekil4dXtwVWq8w
Death Toll,6,1,2,2,2,3,0.16666666666666666,False,"12+ jogos e 66,6%+ WR",Death Toll,Death Toll,Duskmourn: House of Horror,https://moxfield.com/decks/IYNgcuHZQk2WJeZMJw0t7Q
Witherbloom Pestilence,6,3,2,2,1,1,0.5,False,"12+ jogos e 66,6%+ WR",Witherbloom Pestilence,Witherbloom Pestilence,Secrets of Strixhaven,https://moxfield.com/decks/AfG94iTx-UeG0L1wvTfSug
Revival Trance,6,5,0,2,1,1,0.8333333333333334,False,"12+ jogos e 66,6%+ WR",Revival Trance,Revival Trance,Final Fantasy,https://moxfield.com/decks/pAPGhXsBz0OcmaT0sMK1_g
Limit Break,6,1,2,1,2,3,0.16666666666666666,False,"12+ jogos e 66,6%+ WR",Limit Break,Limit Break,Final Fantasy,https://moxfield.com/decks/pTUR6p0yNkOoxDNqo8TMEw
Forças do Império,6,3,1,1,2,2,0.5,False,"12+ jogos e 66,6%+ WR",Forças do Império,Forces of the Imperium,Warhammer 40.000,https://moxfield.com/decks/vBgNOCq5CUWU3B4c5m8gXA
Animated Army,5,2,0,2,2,3,0.4,False,"12+ jogos e 66,6%+ WR",Animated Army,Animated Army,Bloomburrow,https://moxfield.com/decks/IZBQnOST_kWlQtqytb75rg
Dance of the Elements,5,2,0,2,2,3,0.4,False,"12+ jogos e 66,6%+ WR",Dance of the Elements,Dance of the Elements,Lorwyn Eclipsed,https://moxfield.com/decks/Z9GXwZyiKkOfR3O5m1rEkw
Urza's Iron Alliance,5,1,1,1,2,3,0.2,False,"12+ jogos e 66,6%+ WR",Urza's Iron Alliance,Urza's Iron Alliance,The Brothers' War,https://moxfield.com/decks/DZiH6rz0tEq2SnaqbKt1CQ
Dinastias Necron,3,1,0,1,1,2,0.3333333333333333,False,"12+ jogos e 66,6%+ WR",Dinastias Necron,Necron Dynasties,Warhammer 40.000,https://moxfield.com/decks/zKKMeZv9mkGJtotwFAmqIg
Capitão América,3,1,0,1,1,2,0.3333333333333333,False,"12+ jogos e 66,6%+ WR",Capitão América,,,
Cacofonia dos Cabaretti,3,2,1,1,1,0,0.6666666666666666,False,"12+ jogos e 66,6%+ WR",Cacofonia dos Cabaretti,Cabaretti Cacophony,Streets of New Capenna,https://moxfield.com/decks/GyEvLRf31UqSk08E5aM4AA
