tid,tournament_name,start_date,round,table,status
liga-2x2-presencial-s2-e6,Liga 2x2 presencial S2-E6,2026-05-16,2,3,
liga-2x2-presencial-s2-e6,Liga 2x2 presencial S2-E6,2026-05-16,2,4,
liga-2x2-presencial-s2-e6,Liga 2x2 presencial S2-E6,2026-05-16,3,1,
liga-2x2-presencial-s2-e6,Liga 2x2 presencial S2-E6,2026-05-16,3,2,
liga-2x2-presencial-s2-e6,Liga 2x2 presencial S2-E6,2026-05-16,3,3,
liga-2x2-presencial-s2-e6,Liga 2x2 presencial S2-E6,2026-05-16,3,4,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,1,1,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,1,2,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,1,3,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,1,4,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,1,5,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,1,6,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,2,1,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,2,2,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,2,3,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,2,4,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,2,5,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,2,6,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,3,1,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,3,2,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,3,3,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,3,4,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,3,5,
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,3,6,
liga-2x2-presencial-s2-e8,Liga 2x2 presencial S2-E8,2026-05-30,1,1,
liga-2x2-presencial-s2-e8,Liga 2x2 presencial S2-E8,2026-05-30,1,2,
liga-2x2-presencial-s2-e8,Liga 2x2 presencial S2-E8,2026-05-30,1,3,
liga-2x2-presencial-s2-e8,Liga 2x2 presencial S2-E8,2026-05-30,1,4,
liga-2x2-presencial-s2-e8,Liga 2x2 presencial S2-E8,2026-05-30,2,1,
liga-2x2-presencial-s2-e8,Liga 2x2 presencial S2-E8,2026-05-30,2,2,
liga-2x2-presencial-s2-e8,Liga 2x2 presencial S2-E8,2026-05-30,2,3,
liga-2x2-presencial-s2-e8,Liga 2x2 presencial S2-E8,2026-05-30,2,4,
liga-2x2-presencial-s2-e8,Liga 2x2 presencial S2-E8,2026-05-30,3,1,
liga-2x2-presencial-s2-e8,Liga 2x2 presencial S2-E8,2026-05-30,3,2,
liga-2x2-presencial-s2-e8,Liga 2x2 presencial S2-E8,2026-05-30,3,3,
liga-2x2-presencial-s2-e8,Liga 2x2 presencial S2-E8,2026-05-30,3,4,
