tid,tournament_name,start_date,round,table,status
liga-2x2-online-s1-e03,Liga 2x2 Online S1-E03,2026-02-19,1,2,
liga-2x2-online-s1-e03,Liga 2x2 Online S1-E03,2026-02-19,1,3,
liga-2x2-online-s1-e03,Liga 2x2 Online S1-E03,2026-02-19,1,4,
liga-2x2-online-s1-e03,Liga 2x2 Online S1-E03,2026-02-19,2,1,
liga-2x2-online-s1-e03,Liga 2x2 Online S1-E03,2026-02-19,2,2,
liga-2x2-online-s1-e03,Liga 2x2 Online S1-E03,2026-02-19,2,3,
liga-2x2-online-s1-e03,Liga 2x2 Online S1-E03,2026-02-19,2,4,
liga-2x2-online-s1-e03,Liga 2x2 Online S1-E03,2026-02-19,3,1,
liga-2x2-online-s1-e03,Liga 2x2 Online S1-E03,2026-02-19,3,2,
liga-2x2-online-s1-e03,Liga 2x2 Online S1-E03,2026-02-19,3,3,
liga-2x2-online-s1-e03,Liga 2x2 Online S1-E03,2026-02-19,3,4,
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,1,1,
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,1,2,
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,1,3,
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,1,4,
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,1,5,
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,2,1,
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,2,2,
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,2,3,
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,2,4,
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,2,5,
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,3,1,
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,3,2,
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,3,3,
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,3,4,
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,3,5,
liga-2x2-online-s1-e05,Liga 2x2 Online S1-E05,2026-03-19,1,1,
liga-2x2-online-s1-e05,Liga 2x2 Online S1-E05,2026-03-19,1,2,
liga-2x2-online-s1-e05,Liga 2x2 Online S1-E05,2026-03-19,1,3,
liga-2x2-online-s1-e05,Liga 2x2 Online S1-E05,2026-03-19,1,4,
liga-2x2-online-s1-e05,Liga 2x2 Online S1-E05,2026-03-19,2,1,
liga-2x2-online-s1-e05,Liga 2x2 Online S1-E05,2026-03-19,2,2,
liga-2x2-online-s1-e05,Liga 2x2 Online S1-E05,2026-03-19,2,3,
liga-2x2-online-s1-e05,Liga 2x2 Online S1-E05,2026-03-19,2,4,
liga-2x2-online-s1-e05,Liga 2x2 Online S1-E05,2026-03-19,3,1,
liga-2x2-online-s1-e05,Liga 2x2 Online S1-E05,2026-03-19,3,2,
liga-2x2-online-s1-e05,Liga 2x2 Online S1-E05,2026-03-19,3,3,
liga-2x2-online-s1-e05,Liga 2x2 Online S1-E05,2026-03-19,3,4,
liga-2x2-online-s2-e1,Liga 2x2 Online S2-E1,2026-04-02,1,1,
liga-2x2-online-s2-e1,Liga 2x2 Online S2-E1,2026-04-02,1,2,
liga-2x2-online-s2-e1,Liga 2x2 Online S2-E1,2026-04-02,1,3,
liga-2x2-online-s2-e1,Liga 2x2 Online S2-E1,2026-04-02,2,1,
liga-2x2-online-s2-e1,Liga 2x2 Online S2-E1,2026-04-02,2,2,
liga-2x2-online-s2-e1,Liga 2x2 Online S2-E1,2026-04-02,2,3,
liga-2x2-online-s2-e1,Liga 2x2 Online S2-E1,2026-04-02,3,1,
liga-2x2-online-s2-e1,Liga 2x2 Online S2-E1,2026-04-02,3,2,
liga-2x2-online-s2-e1,Liga 2x2 Online S2-E1,2026-04-02,3,3,
liga-2x2-online-s2-e2,Liga 2x2 Online S2-E2,2026-04-16,1,1,
liga-2x2-online-s2-e2,Liga 2x2 Online S2-E2,2026-04-16,1,2,
liga-2x2-online-s2-e2,Liga 2x2 Online S2-E2,2026-04-16,1,3,
liga-2x2-online-s2-e2,Liga 2x2 Online S2-E2,2026-04-16,1,4,
liga-2x2-online-s2-e2,Liga 2x2 Online S2-E2,2026-04-16,1,5,
liga-2x2-online-s2-e2,Liga 2x2 Online S2-E2,2026-04-16,2,1,
liga-2x2-online-s2-e2,Liga 2x2 Online S2-E2,2026-04-16,2,2,
liga-2x2-online-s2-e2,Liga 2x2 Online S2-E2,2026-04-16,2,3,
liga-2x2-online-s2-e2,Liga 2x2 Online S2-E2,2026-04-16,2,4,
liga-2x2-online-s2-e2,Liga 2x2 Online S2-E2,2026-04-16,2,5,
liga-2x2-online-s2-e2,Liga 2x2 Online S2-E2,2026-04-16,3,1,
liga-2x2-online-s2-e2,Liga 2x2 Online S2-E2,2026-04-16,3,2,
liga-2x2-online-s2-e2,Liga 2x2 Online S2-E2,2026-04-16,3,3,
liga-2x2-online-s2-e2,Liga 2x2 Online S2-E2,2026-04-16,3,4,
liga-2x2-online-s2-e2,Liga 2x2 Online S2-E2,2026-04-16,3,5,
liga-2x2-online-s2-e3,Liga 2x2 Online S2-E3,2026-04-30,1,1,
liga-2x2-online-s2-e3,Liga 2x2 Online S2-E3,2026-04-30,1,2,
liga-2x2-online-s2-e3,Liga 2x2 Online S2-E3,2026-04-30,1,3,
liga-2x2-online-s2-e3,Liga 2x2 Online S2-E3,2026-04-30,1,4,
liga-2x2-online-s2-e3,Liga 2x2 Online S2-E3,2026-04-30,2,1,
liga-2x2-online-s2-e3,Liga 2x2 Online S2-E3,2026-04-30,2,2,
liga-2x2-online-s2-e3,Liga 2x2 Online S2-E3,2026-04-30,2,3,
liga-2x2-online-s2-e3,Liga 2x2 Online S2-E3,2026-04-30,2,4,
liga-2x2-online-s2-e3,Liga 2x2 Online S2-E3,2026-04-30,3,1,
liga-2x2-online-s2-e3,Liga 2x2 Online S2-E3,2026-04-30,3,2,
liga-2x2-online-s2-e3,Liga 2x2 Online S2-E3,2026-04-30,3,3,
liga-2x2-online-s2-e3,Liga 2x2 Online S2-E3,2026-04-30,3,4,
liga-2x2-online-s2-e4,Liga 2x2 Online S2-E4,2026-05-14,1,1,
liga-2x2-online-s2-e4,Liga 2x2 Online S2-E4,2026-05-14,1,2,
liga-2x2-online-s2-e4,Liga 2x2 Online S2-E4,2026-05-14,1,3,
liga-2x2-online-s2-e4,Liga 2x2 Online S2-E4,2026-05-14,1,4,
liga-2x2-online-s2-e4,Liga 2x2 Online S2-E4,2026-05-14,2,1,
liga-2x2-online-s2-e4,Liga 2x2 Online S2-E4,2026-05-14,2,2,
liga-2x2-online-s2-e4,Liga 2x2 Online S2-E4,2026-05-14,2,3,
liga-2x2-online-s2-e4,Liga 2x2 Online S2-E4,2026-05-14,2,4,
liga-2x2-online-s2-e4,Liga 2x2 Online S2-E4,2026-05-14,3,1,
liga-2x2-online-s2-e4,Liga 2x2 Online S2-E4,2026-05-14,3,2,
liga-2x2-online-s2-e4,Liga 2x2 Online S2-E4,2026-05-14,3,3,
liga-2x2-online-s2-e4,Liga 2x2 Online S2-E4,2026-05-14,3,4,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,1,1,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,1,2,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,1,3,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,1,4,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,1,5,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,1,6,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,2,1,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,2,2,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,2,3,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,2,4,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,2,5,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,2,6,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,3,1,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,3,2,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,3,3,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,3,4,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,3,5,
liga-2x2-online-s2-e5,Liga 2x2 Online S2-E5,2026-05-28,3,6,
