tid,tournament_name,start_date,month,player_name,player_id,standing,points,win_rate,opp_win_rate,decklist,commanders,raw_team,team_name,team_key,player_1,player_2,deck_1,deck_2,deck_url_1,deck_url_2,deck_name_pt_1,deck_name_pt_2,deck_name_en_1,deck_name_en_2,colecao_1,colecao_2,map_status,missing_players,missing_decks,points_official,event_rank,event_points,event_players
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,2026-03,Bauer & Langa,i9bNzs5ZxRbbzPW41D5C,3,5,0.3333333333333333,0.4792592592592593,,,Bauer & Langa,Bauer & Langa,bauer & langa,Bauer,Langa,Temur Roar,Içar Velas,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,Temur Roar,Içar Velas,Temur Roar,Ahoy Mateys,Tarkir Dragonstorm,The Lost Caverns of Ixalan,manual,0,0,5,3.0,2.0,10.0
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,2026-03,Zangalli & Zangalli pai,neN58DgiQ97KUiOHmYkl,4,4,0.3333333333333333,0.33111111111111113,,,Zangalli & Zangalli pai,Zangalli & Zangalli pai,zangalli & zangalli pai,Zangalli,Zangalli pai,sem deck,sem deck,,,sem deck,sem deck,,,,,manual,0,1,4,4.0,2.0,10.0
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,2026-03,Carlos & Errejota,9zIQOOAW2EPcPk2VVryk,5,3,0.3333333333333333,0.6666666666666666,,,Rafael & Carlos,Carlos & Errejota,carlos & errejota,Errejota,Carlos,Animated Army,Temur Roar,https://moxfield.com/decks/IZBQnOST_kWlQtqytb75rg,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,Animated Army,Temur Roar,Animated Army,Temur Roar,Bloomburrow,Tarkir Dragonstorm,manual,0,0,3,5.0,1.0,10.0
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,2026-03,Andressa & Carlindo,fet3Z2jfw1zCEpDJZr5x,6,3,0.0,0.4803703703703704,,,Andressa & Carlindo,Andressa & Carlindo,andressa & carlindo,Andressa,Carlindo,Dance of the Elements,Festa dos Planeswalker,https://moxfield.com/decks/Z9GXwZyiKkOfR3O5m1rEkw,https://moxfield.com/decks/BYtodI0bP02r4z6UCkNkOg,Dance of the Elements,Festa dos Planeswalker,Dance of the Elements,Planeswalker Party,Lorwyn Eclipsed,Commander Masters,manual,0,0,3,6.0,1.0,10.0
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,2026-03,Jorel & Martin,nkVpGrRRriNgmf242Pbq,7,3,0.0,0.33111111111111113,,,Jorel & Martin,Jorel & Martin,jorel & martin,Jorel,Martin,sem deck,sem deck,,,sem deck,sem deck,,,,,manual,0,1,3,7.0,1.0,10.0
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,2026-03,Chueiry & Vicente,xYYodATAXSDGXAZtvehM,8,2,0.0,0.5185185185185185,,,Chueiry & Vicente,Chueiry & Vicente,chueiry & vicente,Chueiry,Vicente,sem deck,sem deck,,,sem deck,sem deck,,,,,manual,0,1,2,8.0,1.0,10.0
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,2026-03,Glauber & João Marmentini,doHAPl9AbpN1FjVTmCQy,9,2,0.0,0.4074074074074074,,,Glauber & João Marmentini,Glauber & João Marmentini,glauber & joao marmentini,Glauber,João Marmentini,Ameaça sem Rosto,Virtude e Valor,https://moxfield.com/decks/LCH-fa6KIUmzfF-ul72Ucw,https://moxfield.com/decks/Oo_99oH5K0ifS25Wzu5qLw,Ameaça sem Rosto,Virtude e Valor,Faceless Menace,Virtue and Valor,Commander 2019,Wilds of Eldraine,manual,0,0,2,9.0,1.0,10.0
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,2026-03,Boone & Reva,hMoFNUlRETOHeH07r4gz,10,1,0.0,0.5925925925925927,,,Boone & Reva,Boone & Reva,boone & reva,Boone,Reva,Scions & Spellcraft,Eternal Might,https://moxfield.com/decks/r_IFt9Gc3UqaULfoAEjVvg,https://moxfield.com/decks/ULyYbD7SNUS3Z4EM-QnE-A,Scions & Spellcraft,Eternal Might,Scions & Spellcraft,Eternal Might,Final Fantasy,Aetherdrift,manual,0,0,1,10.0,1.0,10.0
liga-2x2-online-s1-e05,Liga 2x2 Online S1-E05,2026-03-19,2026-03,João Marmentini & Vande,VmvY12UO2lglgzpytnKE,1,7,0.6666666666666666,0.5925925925925926,,,Vande e João Marmentini,João Marmentini & Vande,joao marmentini & vande,Vande,João Marmentini,Squirreled Away,Endless Punishment,https://moxfield.com/decks/4xEJiagwvEGelJy9ojLtZA,https://moxfield.com/decks/eg5J71BzAU-yctY6lRn12Q,Squirreled Away,Endless Punishment,Squirreled Away,Endless Punishment,Bloomburrow,Duskmourn: House of Horror,manual,0,0,7,1.0,3.0,8.0
liga-2x2-online-s1-e05,Liga 2x2 Online S1-E05,2026-03-19,2026-03,Boone & Reva,qcC9j5qiSD32CTw0hEfJ,2,7,0.6666666666666666,0.5914814814814814,,,Reva e Boone,Boone & Reva,boone & reva,Reva,Boone,"Ave, Caesar",Festa dos Planeswalker,https://moxfield.com/decks/a6xg5ghnH0C-IB5PPqTZBQ,https://moxfield.com/decks/BYtodI0bP02r4z6UCkNkOg,"Ave, Caesar",Festa dos Planeswalker,"Hail, Caesar",Planeswalker Party,Fallout,Commander Masters,manual,0,0,7,2.0,2.0,8.0
